[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\asyncio\log.py first seen with mtime 1583843942.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\DLLs\_queue.pyd first seen with mtime 1583844334.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\social_django\storage.py first seen with mtime 1606751716.013235
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1607232640.916004
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\copy.py first seen with mtime 1583843946.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1607232641.144408
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1607232641.037187
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\chardet\sbcharsetprober.py first seen with mtime 1606751719.8002155
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\typing.py first seen with mtime 1583843948.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\contrib\messages\__init__.py first seen with mtime 1607232640.39289
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\tokenize.py first seen with mtime 1583843948.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\chardet\sjisprober.py first seen with mtime 1606751719.8012123
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\asyncio\queues.py first seen with mtime 1583843946.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\core\signing.py first seen with mtime 1607232640.926976
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\urllib3\packages\ssl_match_hostname\__init__.py first seen with mtime 1606751720.057153
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\forms\fields.py first seen with mtime 1607232641.0551393
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\re.py first seen with mtime 1583843946.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\gzip.py first seen with mtime 1583843946.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\utils\decorators.py first seen with mtime 1607232641.1354315
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\token.py first seen with mtime 1583843948.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\_markupbase.py first seen with mtime 1583843942.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\db\models\utils.py first seen with mtime 1607232641.0351925
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\core\management\color.py first seen with mtime 1607232640.9578917
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\contrib\sessions\base_session.py first seen with mtime 1607232640.6407404
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\utils\timesince.py first seen with mtime 1607232641.148397
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\idna\core.py first seen with mtime 1606751720.2596097
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\linecache.py first seen with mtime 1583843946.0
